hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,1689.000,3.306492E-008,8.266,458.763,0
1,1.000000,30.068027,1623.675,1.150424E-008,2.876,470.484,0
2,2.000000,38.387580,1592.107,6.011243E-009,1.503,491.594,0
3,3.000000,46.525146,1553.486,7.801685E-009,1.950,454.762,0
4,4.000000,54.229359,1428.934,2.915072E-008,7.288,449.872,0
5,5.000000,61.479116,1374.098,1.519755E-008,3.799,463.861,0
6,6.000000,68.455123,1323.045,1.577228E-008,3.943,450.910,0
7,7.000000,75.084053,1241.547,2.914353E-008,7.286,444.715,0
8,8.000000,81.439457,1215.098,1.071069E-008,2.678,447.715,0
9,9.000000,87.660316,1189.535,1.103382E-008,2.758,457.135,0
10,10.000000,93.668873,1134.117,2.655934E-008,6.640,437.881,0
11,11.000000,99.486160,1114.443,1.041965E-008,2.605,436.405,0
12,12.000000,105.139206,1071.353,2.495474E-008,6.239,457.464,0
13,13.000000,110.595878,1038.210,2.148691E-008,5.372,456.435,0
14,14.000000,115.943813,1028.813,6.504064E-009,1.626,445.978,0
15,15.000000,121.203374,1004.331,1.789609E-008,4.474,452.416,0
16,16.000000,126.330653,977.761,2.113814E-008,5.285,424.817,0
17,17.000000,131.368210,969.297,7.148014E-009,1.787,444.622,0
18,18.000000,136.335789,950.874,1.631744E-008,4.079,437.349,0
19,19.000000,141.244664,946.418,4.112519E-009,1.028,453.235,0
20,20.000000,146.124816,939.787,6.244457E-009,1.561,454.640,0
21,21.000000,150.976536,935.414,4.203288E-009,1.051,451.666,0
22,22.000000,155.805245,930.894,4.416894E-009,1.104,451.894,0
23,23.000000,160.588010,917.754,1.327928E-008,3.320,441.520,0
24,24.000000,165.293669,901.163,1.776089E-008,4.440,438.520,0
25,25.000000,169.947394,897.511,4.069274E-009,1.017,435.076,0
26,26.000000,174.576615,891.706,6.591114E-009,1.648,436.765,0
27,27.000000,179.180437,887.682,4.661379E-009,1.165,421.580,0
28,28.000000,183.757154,881.248,7.615184E-009,1.904,435.390,0
29,29.000000,188.301115,875.020,7.567564E-009,1.892,433.943,0
30,30.000000,192.821787,872.225,3.461278E-009,0.865,437.880,0
31,31.000000,197.299458,858.530,1.756937E-008,4.392,423.276,0
32,32.000000,201.707221,845.202,1.813521E-008,4.534,423.049,0
33,33.000000,206.060751,837.482,1.100985E-008,2.752,406.754,0
34,34.000000,210.372789,829.174,1.229231E-008,3.073,405.228,0
35,35.000000,214.650728,824.268,7.483102E-009,1.871,409.191,0
36,35.082458,215.000000,823.336,1.793314E-008,4.483,406.944,0
