hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,491.000,3.105813E-008,7.765,474.109,0
1,1.000000,24.038542,490.149,2.880552E-008,7.201,486.000,0
2,2.000000,26.572689,489.301,2.927424E-008,7.319,471.555,0
3,3.000000,29.103097,488.703,2.096044E-008,5.240,483.929,0
4,4.000000,31.629170,487.629,3.840000E-008,9.600,489.000,0
5,5.000000,34.151273,487.165,1.685806E-008,4.215,514.693,0
6,6.000000,36.671541,486.919,9.029369E-009,2.257,483.596,0
7,7.000000,39.190745,486.754,6.084679E-009,1.521,501.756,0
8,8.000000,41.708858,486.497,9.496673E-009,2.374,501.719,0
9,9.000000,44.226238,486.470,1.000000E-009,0.087,486.787,0
10,10.000000,46.742188,485.946,1.960000E-008,4.900,495.000,0
11,11.000000,49.256339,485.774,6.487720E-009,1.622,492.771,0
12,12.000000,51.769482,485.556,8.220860E-009,2.055,515.465,0
13,13.000000,54.280543,484.970,2.240000E-008,5.600,507.000,0
14,14.000000,56.789744,484.836,5.166288E-009,1.292,500.769,0
15,15.000000,59.298192,484.679,6.079177E-009,1.520,504.175,0
16,16.000000,61.805353,484.340,1.320000E-008,3.300,499.000,0
17,17.000000,64.311022,484.102,9.311836E-009,2.328,528.846,0
18,18.000000,66.815313,483.807,1.161942E-008,2.905,538.051,0
19,19.000000,69.317824,483.414,1.560000E-008,3.900,544.000,0
20,20.000000,71.818530,483.109,1.224551E-008,3.061,579.142,0
21,21.000000,74.317475,482.734,1.512098E-008,3.780,543.982,0
22,22.000000,76.813964,482.160,2.347726E-008,5.869,549.828,0
23,23.000000,79.306955,481.384,3.224897E-008,8.062,559.220,0
24,24.000000,81.796983,481.013,1.562463E-008,3.906,574.983,0
25,25.000000,84.284933,480.580,1.840000E-008,4.600,588.000,0
26,26.000000,86.770632,480.143,1.880000E-008,4.700,621.000,0
27,27.000000,89.254651,479.930,9.234984E-009,2.309,611.081,0
28,28.000000,91.737473,479.680,1.089755E-008,2.724,614.789,0
29,29.000000,94.218494,479.235,1.960000E-008,4.900,610.000,0
30,30.000000,96.697037,478.723,2.280000E-008,5.700,597.000,0
31,31.000000,99.172993,478.235,2.200000E-008,5.500,587.000,0
32,32.000000,101.647198,478.045,8.637607E-009,2.159,592.951,0
33,33.000000,104.120247,477.788,1.175935E-008,2.940,596.161,0
34,34.000000,106.592168,477.609,8.245097E-009,2.061,593.261,0
35,35.000000,109.063142,477.423,8.620309E-009,2.155,618.783,0
36,36.000000,111.533194,477.252,7.911802E-009,1.978,663.837,0
37,37.000000,114.002073,476.970,1.320000E-008,3.300,649.000,0
38,38.000000,116.469820,476.815,7.287632E-009,1.822,666.757,0
39,39.000000,118.936685,476.629,8.771061E-009,2.193,675.392,0
40,40.000000,121.402652,476.468,7.632634E-009,1.908,661.319,0
41,41.000000,123.867799,476.311,7.440108E-009,1.860,664.961,0
42,42.000000,126.332161,476.165,7.008836E-009,1.752,660.097,0
43,43.000000,128.795670,475.981,8.800000E-009,2.200,667.000,0
44,44.000000,131.258341,475.841,6.780422E-009,1.695,670.735,0
45,45.000000,133.720360,475.730,5.379970E-009,1.345,666.931,0
46,46.000000,136.181760,475.602,6.213596E-009,1.553,681.704,0
47,47.000000,138.642554,475.496,5.156494E-009,1.289,675.867,0
48,48.000000,141.102672,475.340,7.600000E-009,1.900,681.000,0
49,49.000000,143.562103,475.230,5.366670E-009,1.342,676.000,0
50,50.000000,146.020912,475.099,6.459377E-009,1.615,676.992,0
51,51.000000,148.479090,474.987,5.531290E-009,1.383,640.205,0
52,52.000000,150.936639,474.856,6.490165E-009,1.623,639.727,0
53,53.000000,153.393533,474.734,6.050818E-009,1.513,642.542,0
54,54.000000,155.849816,474.619,5.699762E-009,1.425,619.987,0
55,55.000000,158.305451,474.483,6.800000E-009,1.700,620.000,0
56,56.000000,160.760682,474.463,1.000000E-009,0.038,655.514,0
57,57.000000,163.215793,474.437,1.324868E-009,0.331,643.750,0
58,58.000000,165.670784,474.417,1.000000E-009,0.046,642.019,0
59,59.000000,168.125230,474.226,9.600000E-009,2.400,650.000,0
60,60.000000,170.579130,474.206,1.000000E-009,0.044,635.875,0
61,61.000000,173.032928,474.187,1.000000E-009,0.017,636.000,0
62,62.000000,175.486620,474.165,1.075566E-009,0.269,634.452,0
63,63.000000,177.940205,474.145,1.000000E-009,0.125,618.679,0
64,64.000000,180.393688,474.126,1.000000E-009,0.148,624.834,0
65,65.000000,182.847035,474.093,1.637709E-009,0.409,633.538,0
66,66.000000,185.300248,474.074,1.000000E-009,0.090,620.604,0
67,67.000000,187.752961,473.900,8.800000E-009,2.200,613.000,0
68,68.000000,190.204758,473.720,9.200000E-009,2.300,607.000,0
69,69.000000,192.655989,473.681,1.970221E-009,0.493,599.801,0
70,70.000000,195.107070,473.662,1.000000E-009,0.083,601.327,0
71,71.000000,197.558050,473.642,1.000000E-009,0.040,584.580,0
72,72.000000,200.007972,473.254,2.000000E-008,,,1
