activity_id,launch_time,initial_speed_kms,observed_transit_hours,arrival_time_hours,error_hours,termination_reason,shock_arrived,n_missing_hours,density_coverage,gamma_eff_mean,gamma_eff_final
2026-01-01T03:53:00-CME-001,2026-01-01T03:53:00.0000000Z,453.000,88.800,,,timeout,0,0,1.000,2.000000E-008,2.000000E-008
2026-01-01T19:36:00-CME-001,2026-01-01T19:36:00.0000000Z,628.000,73.083,67.571,-5.513,target_reached,0,0,1.000,2.000000E-008,2.000000E-008
2026-01-01T23:12:00-CME-001,2026-01-01T23:12:00.0000000Z,322.000,149.750,,,timeout,0,0,1.000,2.000000E-008,2.000000E-008
2026-01-03T07:48:00-CME-001,2026-01-03T07:48:00.0000000Z,378.000,117.150,,,timeout,0,0,1.000,2.000000E-008,2.000000E-008
2026-01-04T01:25:00-CME-001,2026-01-04T01:25:00.0000000Z,451.000,99.533,,,timeout,0,0,1.000,2.000000E-008,2.000000E-008
2026-01-05T08:48:00-CME-001,2026-01-05T08:48:00.0000000Z,661.000,68.150,65.596,-2.554,target_reached,0,0,1.000,2.000000E-008,2.000000E-008
2026-01-06T02:00:00-CME-001,2026-01-06T02:00:00.0000000Z,895.000,50.950,55.567,4.617,target_reached,0,0,1.000,2.000000E-008,2.000000E-008
2026-01-07T11:36:00-CME-001,2026-01-07T11:36:00.0000000Z,537.000,80.000,,,timeout,0,0,1.000,2.000000E-008,2.000000E-008
2026-01-08T03:00:00-CME-001,2026-01-08T03:00:00.0000000Z,340.000,130.717,,,timeout,0,0,1.000,2.000000E-008,2.000000E-008
2026-01-08T05:53:00-CME-001,2026-01-08T05:53:00.0000000Z,1016.000,61.717,51.975,-9.742,target_reached,0,0,1.000,2.000000E-008,2.000000E-008
2026-01-08T15:48:00-CME-001,2026-01-08T15:48:00.0000000Z,872.000,51.800,56.341,4.541,target_reached,0,0,1.000,2.000000E-008,2.000000E-008
2026-01-08T17:00:00-CME-001,2026-01-08T17:00:00.0000000Z,1056.000,50.600,50.934,0.334,target_reached,0,0,1.000,2.000000E-008,2.000000E-008
2026-01-08T17:12:00-CME-001,2026-01-08T17:12:00.0000000Z,1084.000,50.400,50.242,-0.158,target_reached,0,0,1.000,2.000000E-008,2.000000E-008
2026-01-09T08:38:00-CME-001,2026-01-09T08:38:00.0000000Z,387.000,101.083,,,timeout,0,0,1.000,2.000000E-008,2.000000E-008
2026-01-09T15:36:00-CME-001,2026-01-09T15:36:00.0000000Z,317.000,154.067,,,timeout,0,0,1.000,2.000000E-008,2.000000E-008
2026-01-10T02:24:00-CME-001,2026-01-10T02:24:00.0000000Z,1118.000,17.200,,,timeout,0,0,1.000,2.000000E-008,2.000000E-008
2026-01-10T16:12:00-CME-001,2026-01-10T16:12:00.0000000Z,221.000,218.717,,,timeout,0,0,1.000,2.000000E-008,2.000000E-008
2026-01-10T20:36:00-CME-001,2026-01-10T20:36:00.0000000Z,1045.000,65.117,51.214,-13.902,target_reached,0,0,1.000,2.000000E-008,2.000000E-008
2026-01-10T20:48:00-CME-001,2026-01-10T20:48:00.0000000Z,809.000,64.917,58.650,-6.267,target_reached,0,0,1.000,2.000000E-008,2.000000E-008
2026-01-11T05:12:00-CME-001,2026-01-11T05:12:00.0000000Z,775.000,56.517,60.030,3.514,target_reached,0,0,1.000,2.000000E-008,2.000000E-008
2026-01-11T21:30:00-CME-001,2026-01-11T21:30:00.0000000Z,440.000,100.167,,,timeout,0,0,1.000,2.000000E-008,2.000000E-008
2026-01-12T01:45:00-CME-001,2026-01-12T01:45:00.0000000Z,804.000,35.967,,,timeout,0,0,1.000,2.000000E-008,2.000000E-008
2026-01-12T03:00:00-CME-001,2026-01-12T03:00:00.0000000Z,916.000,34.717,,,timeout,0,0,1.000,2.000000E-008,2.000000E-008
2026-01-14T08:24:00-CME-001,2026-01-14T08:24:00.0000000Z,768.000,41.267,,,timeout,0,0,1.000,2.000000E-008,2.000000E-008
2026-01-17T23:24:00-CME-001,2026-01-17T23:24:00.0000000Z,951.000,43.517,,,timeout,0,0,1.000,2.000000E-008,2.000000E-008
2026-01-18T08:36:00-CME-001,2026-01-18T08:36:00.0000000Z,1123.000,34.317,,,timeout,0,0,1.000,2.000000E-008,2.000000E-008
2026-01-18T18:09:00-CME-001,2026-01-18T18:09:00.0000000Z,1473.000,24.767,,,timeout,0,0,1.000,2.000000E-008,2.000000E-008
2026-01-29T12:45:00-CME-001,2026-01-29T12:45:00.0000000Z,342.000,145.583,,,timeout,0,0,0.736,2.000000E-008,2.000000E-008
2026-01-31T14:12:00-CME-001,2026-01-31T14:12:00.0000000Z,399.000,96.133,,,timeout,0,0,1.000,2.000000E-008,2.000000E-008
2026-02-02T00:48:00-CME-001,2026-02-02T00:48:00.0000000Z,587.000,61.533,,,timeout,0,0,1.000,2.000000E-008,2.000000E-008
2026-02-11T03:48:00-CME-001,2026-02-11T03:48:00.0000000Z,468.000,87.850,,,timeout,0,0,1.000,2.000000E-008,2.000000E-008
2026-02-11T10:08:00-CME-001,2026-02-11T10:08:00.0000000Z,469.000,81.517,,,timeout,0,0,1.000,2.000000E-008,2.000000E-008
2026-02-13T09:38:00-CME-001,2026-02-13T09:38:00.0000000Z,800.000,34.017,,,timeout,0,0,1.000,2.000000E-008,2.000000E-008
2026-02-16T05:00:00-CME-001,2026-02-16T05:00:00.0000000Z,434.000,113.583,,,timeout,0,0,0.986,2.000000E-008,2.000000E-008
2026-02-16T14:08:00-CME-001,2026-02-16T14:08:00.0000000Z,455.000,104.450,,,timeout,0,0,0.986,2.000000E-008,2.000000E-008
