hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,739.000,2.000000E-008,,,0
1,1.000000,25.302996,730.923,2.000000E-008,,,0
2,2.000000,29.065180,723.222,2.000000E-008,,,0
3,3.000000,32.788429,715.871,2.000000E-008,,,0
4,4.000000,36.474496,708.847,2.000000E-008,,,0
5,5.000000,40.125015,702.128,2.000000E-008,,,0
6,6.000000,43.741517,695.696,2.000000E-008,,,0
7,7.000000,47.325435,689.532,2.000000E-008,,,0
8,8.000000,50.878114,683.619,2.000000E-008,,,0
9,9.000000,54.400817,677.944,2.000000E-008,,,0
10,10.000000,57.894732,672.491,2.000000E-008,,,0
11,11.000000,61.360977,667.247,2.000000E-008,,,0
12,12.000000,64.800608,662.202,2.000000E-008,,,0
13,13.000000,68.214620,657.344,2.000000E-008,,,0
14,14.000000,71.603954,652.662,2.000000E-008,,,0
15,15.000000,74.969499,648.148,2.000000E-008,,,0
16,16.000000,78.312098,643.792,2.000000E-008,,,0
17,17.000000,81.632550,639.587,2.000000E-008,,,0
18,18.000000,84.931612,635.524,2.000000E-008,,,0
19,19.000000,88.210004,631.597,2.000000E-008,,,0
20,20.000000,91.468410,627.798,2.000000E-008,,,0
21,21.000000,94.707479,624.122,2.000000E-008,,,0
22,22.000000,97.927832,620.563,2.000000E-008,,,0
23,23.000000,101.130057,617.115,2.000000E-008,,,0
24,24.000000,104.314717,613.773,2.000000E-008,,,0
25,25.000000,107.482348,610.533,2.000000E-008,,,0
26,26.000000,110.633464,607.389,2.000000E-008,,,0
27,27.000000,113.768554,604.338,2.000000E-008,,,0
28,28.000000,116.888085,601.375,2.000000E-008,,,0
29,29.000000,119.992506,598.497,2.000000E-008,,,0
30,30.000000,123.082246,595.700,2.000000E-008,,,0
31,31.000000,126.157715,592.981,2.000000E-008,,,0
32,32.000000,129.219308,590.337,2.000000E-008,,,0
33,33.000000,132.267401,587.763,2.000000E-008,,,0
34,34.000000,135.302359,585.259,2.000000E-008,,,0
35,35.000000,138.324528,582.820,2.000000E-008,,,0
36,36.000000,141.334243,580.445,2.000000E-008,,,0
37,37.000000,144.331826,578.131,2.000000E-008,,,0
38,38.000000,147.317587,575.875,2.000000E-008,,,0
39,39.000000,150.291822,573.676,2.000000E-008,,,0
40,40.000000,153.254817,571.531,2.000000E-008,,,0
41,41.000000,156.206850,569.438,2.000000E-008,,,0
42,42.000000,159.148186,567.396,2.000000E-008,,,0
43,43.000000,162.079081,565.403,2.000000E-008,,,0
44,44.000000,164.999782,563.456,2.000000E-008,,,0
45,45.000000,167.910528,561.555,2.000000E-008,,,0
46,46.000000,170.811549,559.697,2.000000E-008,,,0
47,47.000000,173.703068,557.882,2.000000E-008,,,0
48,48.000000,176.585299,556.107,2.000000E-008,,,0
49,49.000000,179.458451,554.372,2.000000E-008,,,0
50,50.000000,182.322722,552.675,2.000000E-008,,,0
51,51.000000,185.178309,551.015,2.000000E-008,,,0
52,52.000000,188.025399,549.391,2.000000E-008,,,0
53,53.000000,190.864173,547.801,2.000000E-008,,,0
54,54.000000,193.694807,546.245,2.000000E-008,,,0
55,55.000000,196.517473,544.721,2.000000E-008,,,0
56,56.000000,199.332335,543.228,2.000000E-008,,,0
57,57.000000,202.139554,541.767,2.000000E-008,,,0
58,58.000000,204.939284,540.334,2.000000E-008,,,0
59,59.000000,207.731677,538.930,2.000000E-008,,,0
60,59.931667,210.326781,537.648,2.000000E-008,,,0
