activity_id,launch_time,initial_speed_kms,observed_transit_hours,arrival_time_hours,error_hours,termination_reason,shock_arrived,n_missing_hours,density_coverage,gamma_eff_mean,gamma_eff_final
2026-01-01T03:53:00-CME-001,2026-01-01T03:53:00.0000000Z,453.000,88.800,,,timeout,0,1,1.000,1.653699E-008,2.000000E-008
2026-01-01T19:36:00-CME-001,2026-01-01T19:36:00.0000000Z,628.000,73.083,65.809,-7.274,target_reached,0,0,1.000,1.358209E-008,1.320000E-008
2026-01-01T23:12:00-CME-001,2026-01-01T23:12:00.0000000Z,322.000,149.750,,,timeout,0,1,1.000,1.449863E-008,2.000000E-008
2026-01-03T07:48:00-CME-001,2026-01-03T07:48:00.0000000Z,378.000,117.150,,,timeout,0,1,1.000,1.734247E-008,2.000000E-008
2026-01-04T01:25:00-CME-001,2026-01-04T01:25:00.0000000Z,451.000,99.533,,,timeout,0,1,1.000,2.195616E-008,2.000000E-008
2026-01-05T08:48:00-CME-001,2026-01-05T08:48:00.0000000Z,661.000,68.150,66.132,-2.018,target_reached,0,0,1.000,2.577059E-008,4.760000E-008
2026-01-06T02:00:00-CME-001,2026-01-06T02:00:00.0000000Z,895.000,50.950,59.841,8.891,target_reached,0,0,1.000,3.514754E-008,5.800000E-008
2026-01-07T11:36:00-CME-001,2026-01-07T11:36:00.0000000Z,537.000,80.000,,,timeout,0,1,1.000,3.919452E-008,2.000000E-008
2026-01-08T03:00:00-CME-001,2026-01-08T03:00:00.0000000Z,340.000,130.717,,,timeout,0,1,1.000,3.949041E-008,2.000000E-008
2026-01-08T05:53:00-CME-001,2026-01-08T05:53:00.0000000Z,1016.000,61.717,63.743,2.026,target_reached,0,0,1.000,3.864000E-008,5.680000E-008
2026-01-08T15:48:00-CME-001,2026-01-08T15:48:00.0000000Z,872.000,51.800,64.001,12.201,target_reached,0,0,1.000,3.386061E-008,1.880000E-008
2026-01-08T17:00:00-CME-001,2026-01-08T17:00:00.0000000Z,1056.000,50.600,60.105,9.505,target_reached,0,0,1.000,3.388387E-008,1.520000E-008
2026-01-08T17:12:00-CME-001,2026-01-08T17:12:00.0000000Z,1084.000,50.400,59.631,9.231,target_reached,0,0,1.000,3.419016E-008,1.600000E-008
2026-01-09T08:38:00-CME-001,2026-01-09T08:38:00.0000000Z,387.000,101.083,,,timeout,0,1,1.000,2.414795E-008,2.000000E-008
2026-01-09T15:36:00-CME-001,2026-01-09T15:36:00.0000000Z,317.000,154.067,,,timeout,0,1,1.000,2.175890E-008,2.000000E-008
2026-01-10T02:24:00-CME-001,2026-01-10T02:24:00.0000000Z,1118.000,17.200,54.431,37.231,target_reached,0,0,1.000,2.235714E-008,6.400000E-009
2026-01-10T16:12:00-CME-001,2026-01-10T16:12:00.0000000Z,221.000,218.717,,,timeout,0,1,1.000,1.549041E-008,2.000000E-008
2026-01-10T20:36:00-CME-001,2026-01-10T20:36:00.0000000Z,1045.000,65.117,54.243,-10.874,target_reached,0,0,1.000,1.660000E-008,7.200000E-009
2026-01-10T20:48:00-CME-001,2026-01-10T20:48:00.0000000Z,809.000,64.917,60.114,-4.802,target_reached,0,0,1.000,1.583871E-008,7.200000E-009
2026-01-11T05:12:00-CME-001,2026-01-11T05:12:00.0000000Z,775.000,56.517,56.856,0.339,target_reached,0,0,1.000,1.082759E-008,4.000000E-009
2026-01-11T21:30:00-CME-001,2026-01-11T21:30:00.0000000Z,440.000,100.167,,,timeout,0,1,1.000,6.936986E-009,2.000000E-008
2026-01-12T01:45:00-CME-001,2026-01-12T01:45:00.0000000Z,804.000,35.967,52.238,16.271,target_reached,0,0,1.000,6.718519E-009,2.800000E-009
2026-01-12T03:00:00-CME-001,2026-01-12T03:00:00.0000000Z,916.000,34.717,47.396,12.679,target_reached,0,0,1.000,6.955102E-009,2.800000E-009
2026-01-14T08:24:00-CME-001,2026-01-14T08:24:00.0000000Z,768.000,41.267,57.071,15.805,target_reached,0,0,1.000,1.793220E-008,2.080000E-008
2026-01-17T23:24:00-CME-001,2026-01-17T23:24:00.0000000Z,951.000,43.517,45.000,1.483,shock_detected,1,0,1.000,1.263478E-008,9.560000E-008
2026-01-18T08:36:00-CME-001,2026-01-18T08:36:00.0000000Z,1123.000,34.317,36.000,1.683,shock_detected,1,0,1.000,1.308108E-008,9.560000E-008
2026-01-18T18:09:00-CME-001,2026-01-18T18:09:00.0000000Z,1473.000,24.767,26.000,1.233,shock_detected,1,0,1.000,1.448889E-008,9.560000E-008
2026-01-29T12:45:00-CME-001,2026-01-29T12:45:00.0000000Z,342.000,145.583,,,timeout,0,20,0.736,1.189589E-008,2.000000E-008
2026-01-31T14:12:00-CME-001,2026-01-31T14:12:00.0000000Z,399.000,96.133,,,timeout,0,1,1.000,2.568767E-008,2.000000E-008
2026-02-02T00:48:00-CME-001,2026-02-02T00:48:00.0000000Z,587.000,61.533,,,timeout,0,1,1.000,4.008219E-008,2.000000E-008
2026-02-11T03:48:00-CME-001,2026-02-11T03:48:00.0000000Z,468.000,87.850,,,timeout,0,1,1.000,1.912329E-008,2.000000E-008
2026-02-11T10:08:00-CME-001,2026-02-11T10:08:00.0000000Z,469.000,81.517,,,timeout,0,1,1.000,1.844932E-008,2.000000E-008
