hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,1045.000,3.000000E-008,10.500,540.000,0
1,1.000000,26.759514,989.468,4.057143E-008,14.200,576.000,0
2,2.000000,31.720392,930.017,5.285714E-008,18.500,570.000,0
3,3.000000,36.438031,894.186,3.800000E-008,13.300,557.000,0
4,4.000000,40.994982,867.567,3.200000E-008,11.200,542.000,0
5,5.000000,45.445055,852.550,1.971429E-008,6.900,529.000,0
6,6.000000,49.818832,838.072,2.028571E-008,7.100,510.000,0
7,7.000000,54.120051,824.492,2.028571E-008,7.100,506.000,0
8,8.000000,58.361471,814.891,1.514286E-008,5.300,518.000,0
9,9.000000,62.560123,807.927,1.142857E-008,4.000,537.000,0
10,10.000000,66.724209,801.525,1.085714E-008,3.800,528.000,0
11,11.000000,70.854004,794.679,1.200000E-008,4.200,523.000,0
12,12.000000,74.946948,787.290,1.342857E-008,4.700,520.000,0
13,13.000000,79.001196,779.727,1.428571E-008,5.000,516.000,0
14,14.000000,83.018186,772.882,1.342857E-008,4.700,527.000,0
15,15.000000,86.998945,765.728,1.457143E-008,5.100,536.000,0
16,16.000000,90.944779,759.374,1.342857E-008,4.700,533.000,0
17,17.000000,94.854281,751.704,1.685714E-008,5.900,530.000,0
18,18.000000,98.724291,744.110,1.742857E-008,6.100,518.000,0
19,19.000000,102.561692,739.070,1.200000E-008,4.200,520.000,0
20,20.000000,106.378209,736.023,7.428571E-009,2.600,511.000,0
21,21.000000,110.162103,726.543,2.400000E-008,8.400,514.000,0
22,22.000000,113.909060,721.681,1.285714E-008,4.500,527.000,0
23,23.000000,117.636926,719.146,6.857143E-009,2.400,533.000,0
24,24.000000,121.352318,716.858,6.285714E-009,2.200,550.000,0
25,25.000000,125.056217,714.704,6.000000E-009,2.100,542.000,0
26,26.000000,128.749831,712.881,5.142857E-009,1.800,545.000,0
27,27.000000,132.434325,711.179,4.857143E-009,1.700,534.000,0
28,28.000000,136.109801,709.396,5.142857E-009,1.800,542.000,0
29,29.000000,139.776611,707.829,4.571429E-009,1.600,523.000,0
30,30.000000,143.435102,706.181,4.857143E-009,1.700,558.000,0
31,31.000000,147.084367,704.264,5.714286E-009,2.000,538.000,0
32,32.000000,150.723778,702.372,5.714286E-009,2.000,527.000,0
33,33.000000,154.353696,700.595,5.428571E-009,1.900,529.000,0
34,34.000000,157.974955,699.024,4.857143E-009,1.700,513.000,0
35,35.000000,161.588123,697.468,4.857143E-009,1.700,514.000,0
36,36.000000,165.193284,695.929,4.857143E-009,1.700,499.000,0
37,37.000000,168.790753,694.495,4.571429E-009,1.600,520.000,0
38,38.000000,172.380836,693.074,4.571429E-009,1.600,506.000,0
39,39.000000,175.963377,691.580,4.857143E-009,1.700,501.000,0
40,40.000000,179.537552,689.842,5.714286E-009,2.000,547.000,0
41,41.000000,183.102562,688.038,6.000000E-009,2.100,539.000,0
42,42.000000,186.657642,686.005,6.857143E-009,2.400,518.000,0
43,43.000000,190.200120,683.173,9.714286E-009,3.400,557.000,0
44,44.000000,193.728298,680.477,9.428571E-009,3.300,556.000,0
45,45.000000,197.242451,677.752,9.714286E-009,3.400,562.000,0
46,46.000000,200.744469,675.783,7.142857E-009,2.500,600.000,0
47,47.000000,204.236769,673.995,6.571429E-009,2.300,585.000,0
48,48.000000,207.720076,672.307,6.285714E-009,2.200,578.000,0
49,49.000000,211.193917,670.338,7.428571E-009,2.600,566.000,0
50,50.000000,214.657645,668.398,7.428571E-009,2.600,558.000,0
51,50.099109,215.000000,668.230,6.571429E-009,2.300,570.000,0
