hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,295.000,2.000000E-008,,,0
1,1.000000,23.028564,295.788,2.000000E-008,,,0
2,2.000000,24.561173,296.564,2.000000E-008,,,0
3,3.000000,26.097770,297.329,2.000000E-008,,,0
4,4.000000,27.638293,298.082,2.000000E-008,,,0
5,5.000000,29.182687,298.824,2.000000E-008,,,0
6,6.000000,30.730895,299.556,2.000000E-008,,,0
7,7.000000,32.282862,300.277,2.000000E-008,,,0
8,8.000000,33.838534,300.988,2.000000E-008,,,0
9,9.000000,35.397859,301.689,2.000000E-008,,,0
10,10.000000,36.960784,302.380,2.000000E-008,,,0
11,11.000000,38.527261,303.061,2.000000E-008,,,0
12,12.000000,40.097238,303.733,2.000000E-008,,,0
13,13.000000,41.670668,304.396,2.000000E-008,,,0
14,14.000000,43.247504,305.050,2.000000E-008,,,0
15,15.000000,44.827699,305.694,2.000000E-008,,,0
16,16.000000,46.411207,306.330,2.000000E-008,,,0
17,17.000000,47.997985,306.958,2.000000E-008,,,0
18,18.000000,49.587988,307.577,2.000000E-008,,,0
19,19.000000,51.181173,308.188,2.000000E-008,,,0
20,20.000000,52.777499,308.791,2.000000E-008,,,0
21,21.000000,54.376925,309.386,2.000000E-008,,,0
22,22.000000,55.979410,309.973,2.000000E-008,,,0
23,23.000000,57.584914,310.553,2.000000E-008,,,0
24,24.000000,59.193400,311.125,2.000000E-008,,,0
25,25.000000,60.804828,311.690,2.000000E-008,,,0
26,26.000000,62.419162,312.248,2.000000E-008,,,0
27,27.000000,64.036366,312.799,2.000000E-008,,,0
28,28.000000,65.656402,313.343,2.000000E-008,,,0
29,29.000000,67.279236,313.881,2.000000E-008,,,0
30,30.000000,68.904833,314.411,2.000000E-008,,,0
31,31.000000,70.533160,314.936,2.000000E-008,,,0
32,32.000000,72.164182,315.453,2.000000E-008,,,0
33,33.000000,73.797868,315.965,2.000000E-008,,,0
34,34.000000,75.434185,316.470,2.000000E-008,,,0
35,35.000000,77.073101,316.970,2.000000E-008,,,0
36,36.000000,78.714587,317.463,2.000000E-008,,,0
37,37.000000,80.358610,317.951,2.000000E-008,,,0
38,38.000000,82.005141,318.433,2.000000E-008,,,0
39,39.000000,83.654152,318.909,2.000000E-008,,,0
40,40.000000,85.305612,319.380,2.000000E-008,,,0
41,41.000000,86.959494,319.845,2.000000E-008,,,0
42,42.000000,88.615770,320.305,2.000000E-008,,,0
43,43.000000,90.274412,320.760,2.000000E-008,,,0
44,44.000000,91.935393,321.209,2.000000E-008,,,0
45,45.000000,93.598688,321.653,2.000000E-008,,,0
46,46.000000,95.264269,322.093,2.000000E-008,,,0
47,47.000000,96.932112,322.528,2.000000E-008,,,0
48,48.000000,98.602191,322.957,2.000000E-008,,,0
49,49.000000,100.274482,323.382,2.000000E-008,,,0
50,50.000000,101.948960,323.803,2.000000E-008,,,0
51,51.000000,103.625601,324.218,2.000000E-008,,,0
52,52.000000,105.304381,324.630,2.000000E-008,,,0
53,53.000000,106.985279,325.036,2.000000E-008,,,0
54,54.000000,108.668270,325.439,2.000000E-008,,,0
55,55.000000,110.353332,325.837,2.000000E-008,,,0
56,56.000000,112.040443,326.231,2.000000E-008,,,0
57,57.000000,113.729582,326.621,2.000000E-008,,,0
58,58.000000,115.420727,327.006,2.000000E-008,,,0
59,59.000000,117.113858,327.388,2.000000E-008,,,0
60,60.000000,118.808952,327.766,2.000000E-008,,,0
61,61.000000,120.505991,328.139,2.000000E-008,,,0
62,62.000000,122.204954,328.509,2.000000E-008,,,0
63,63.000000,123.905821,328.875,2.000000E-008,,,0
64,64.000000,125.608573,329.238,2.000000E-008,,,0
65,65.000000,127.313190,329.596,2.000000E-008,,,0
66,66.000000,129.019654,329.951,2.000000E-008,,,0
67,67.000000,130.727946,330.303,2.000000E-008,,,0
68,68.000000,132.438048,330.651,2.000000E-008,,,0
69,69.000000,134.149942,330.996,2.000000E-008,,,0
70,70.000000,135.863611,331.337,2.000000E-008,,,0
71,71.000000,137.579035,331.674,2.000000E-008,,,0
72,72.000000,139.296199,332.009,2.000000E-008,,,0
