hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,378.000,3.600000E-009,1.800,570.000,0
1,1.000000,23.456031,378.006,3.400000E-009,1.700,539.000,0
2,2.000000,25.412097,378.014,4.400000E-009,2.200,519.000,0
3,3.000000,27.368202,378.021,4.400000E-009,2.200,523.000,0
4,4.000000,29.324348,378.029,4.400000E-009,2.200,515.000,0
5,5.000000,31.280536,378.038,5.200000E-009,2.600,480.000,0
6,6.000000,33.236771,378.047,5.200000E-009,2.600,482.000,0
7,7.000000,35.193050,378.055,4.600000E-009,2.300,472.000,0
8,8.000000,37.149375,378.065,5.600000E-009,2.800,497.000,0
9,9.000000,39.105750,378.074,5.600000E-009,2.800,489.000,0
10,10.000000,41.062165,378.080,3.200000E-009,1.600,491.000,0
11,11.000000,43.018608,378.085,3.200000E-009,1.600,486.000,0
12,12.000000,44.975091,378.095,5.800000E-009,2.900,475.000,0
13,13.000000,46.931640,378.111,8.800000E-009,4.400,454.000,0
14,14.000000,48.888270,378.127,9.600000E-009,4.800,452.000,0
15,15.000000,50.845003,378.150,1.320000E-008,6.600,438.000,0
16,16.000000,52.801842,378.168,1.080000E-008,5.400,437.000,0
17,17.000000,54.758772,378.185,9.800000E-009,4.900,439.000,0
18,18.000000,56.715788,378.201,9.400000E-009,4.700,434.000,0
19,19.000000,58.672884,378.216,8.800000E-009,4.400,424.000,0
20,20.000000,60.630055,378.230,8.200000E-009,4.100,423.000,0
21,21.000000,62.587292,378.242,6.600000E-009,3.300,424.000,0
22,22.000000,64.544583,378.251,5.800000E-009,2.900,423.000,0
23,23.000000,66.501924,378.261,5.400000E-009,2.700,420.000,0
24,24.000000,68.459310,378.269,5.000000E-009,2.500,418.000,0
25,25.000000,70.416747,378.280,6.400000E-009,3.200,406.000,0
26,26.000000,72.374239,378.291,6.400000E-009,3.200,399.000,0
27,27.000000,74.331784,378.300,5.400000E-009,2.700,400.000,0
28,28.000000,76.289379,378.310,6.000000E-009,3.000,396.000,0
29,29.000000,78.247029,378.322,6.800000E-009,3.400,390.000,0
30,30.000000,80.204739,378.333,6.600000E-009,3.300,390.000,0
31,31.000000,82.162505,378.344,6.400000E-009,3.200,410.000,0
32,32.000000,84.120334,378.357,8.000000E-009,4.000,433.000,0
33,33.000000,86.078248,378.376,1.140000E-008,5.700,459.000,0
34,34.000000,88.036235,378.386,5.600000E-009,2.800,435.000,0
35,35.000000,89.994285,378.400,8.600000E-009,4.300,441.000,0
36,36.000000,91.952426,378.421,1.240000E-008,6.200,453.000,0
37,37.000000,93.910676,378.443,1.280000E-008,6.400,447.000,0
38,38.000000,95.869061,378.473,1.840000E-008,9.200,461.000,0
39,39.000000,97.827596,378.501,1.640000E-008,8.200,471.000,0
40,40.000000,99.786272,378.528,1.620000E-008,8.100,480.000,0
41,41.000000,101.745082,378.553,1.520000E-008,7.600,460.000,0
42,42.000000,103.704016,378.575,1.360000E-008,6.800,463.000,0
43,43.000000,105.663063,378.596,1.280000E-008,6.400,482.000,0
44,44.000000,107.622223,378.619,1.360000E-008,6.800,457.000,0
45,45.000000,109.581491,378.638,1.200000E-008,6.000,447.000,0
46,46.000000,111.540857,378.657,1.100000E-008,5.500,444.000,0
47,47.000000,113.500319,378.675,1.140000E-008,5.700,438.000,0
48,48.000000,115.459874,378.693,1.080000E-008,5.400,433.000,0
49,49.000000,117.419515,378.708,9.400000E-009,4.700,433.000,0
50,50.000000,119.379227,378.720,7.400000E-009,3.700,426.000,0
51,51.000000,121.339000,378.732,7.200000E-009,3.600,417.000,0
52,52.000000,123.298834,378.744,7.200000E-009,3.600,416.000,0
53,53.000000,125.258735,378.758,8.800000E-009,4.400,415.000,0
54,54.000000,127.218698,378.768,6.000000E-009,3.000,414.000,0
55,55.000000,129.178710,378.777,5.400000E-009,2.700,412.000,0
56,56.000000,131.138767,378.786,5.600000E-009,2.800,416.000,0
57,57.000000,133.098874,378.796,6.200000E-009,3.100,405.000,0
58,58.000000,135.059037,378.807,7.000000E-009,3.500,390.000,0
59,59.000000,137.019259,378.819,7.400000E-009,3.700,387.000,0
60,60.000000,138.979548,378.833,8.400000E-009,4.200,386.000,0
61,61.000000,140.939908,378.847,8.800000E-009,4.400,391.000,0
62,62.000000,142.900344,378.862,9.400000E-009,4.700,394.000,0
63,63.000000,144.860902,378.894,1.980000E-008,9.900,394.000,0
64,64.000000,146.821588,378.912,1.120000E-008,5.600,379.000,0
65,65.000000,148.782355,378.925,8.200000E-009,4.100,371.000,0
66,66.000000,150.743193,378.939,9.200000E-009,4.600,367.000,0
67,67.000000,152.704111,378.955,1.000000E-008,5.000,358.000,0
68,68.000000,154.665112,378.972,1.020000E-008,5.100,366.000,0
69,69.000000,156.626204,378.990,1.180000E-008,5.900,365.000,0
70,70.000000,158.587397,379.010,1.260000E-008,6.300,365.000,0
71,71.000000,160.548688,379.029,1.160000E-008,5.800,359.000,0
72,72.000000,162.510109,379.060,2.000000E-008,,,1
