hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,378.000,2.000000E-008,,,0
1,1.000000,23.456106,378.035,2.000000E-008,,,0
2,2.000000,25.412391,378.069,2.000000E-008,,,0
3,3.000000,27.368855,378.104,2.000000E-008,,,0
4,4.000000,29.325499,378.139,2.000000E-008,,,0
5,5.000000,31.282320,378.173,2.000000E-008,,,0
6,6.000000,33.239319,378.207,2.000000E-008,,,0
7,7.000000,35.196494,378.241,2.000000E-008,,,0
8,8.000000,37.153846,378.275,2.000000E-008,,,0
9,9.000000,39.111374,378.309,2.000000E-008,,,0
10,10.000000,41.069077,378.343,2.000000E-008,,,0
11,11.000000,43.026955,378.377,2.000000E-008,,,0
12,12.000000,44.985008,378.410,2.000000E-008,,,0
13,13.000000,46.943233,378.444,2.000000E-008,,,0
14,14.000000,48.901632,378.477,2.000000E-008,,,0
15,15.000000,50.860204,378.511,2.000000E-008,,,0
16,16.000000,52.818947,378.544,2.000000E-008,,,0
17,17.000000,54.777862,378.577,2.000000E-008,,,0
18,18.000000,56.736949,378.610,2.000000E-008,,,0
19,19.000000,58.696205,378.643,2.000000E-008,,,0
20,20.000000,60.655632,378.676,2.000000E-008,,,0
21,21.000000,62.615228,378.708,2.000000E-008,,,0
22,22.000000,64.574992,378.741,2.000000E-008,,,0
23,23.000000,66.534926,378.773,2.000000E-008,,,0
24,24.000000,68.495027,378.806,2.000000E-008,,,0
25,25.000000,70.455295,378.838,2.000000E-008,,,0
26,26.000000,72.415730,378.870,2.000000E-008,,,0
27,27.000000,74.376332,378.902,2.000000E-008,,,0
28,28.000000,76.337100,378.934,2.000000E-008,,,0
29,29.000000,78.298032,378.966,2.000000E-008,,,0
30,30.000000,80.259130,378.998,2.000000E-008,,,0
31,31.000000,82.220392,379.030,2.000000E-008,,,0
32,32.000000,84.181818,379.061,2.000000E-008,,,0
33,33.000000,86.143407,379.093,2.000000E-008,,,0
34,34.000000,88.105159,379.124,2.000000E-008,,,0
35,35.000000,90.067073,379.156,2.000000E-008,,,0
36,36.000000,92.029150,379.187,2.000000E-008,,,0
37,37.000000,93.991387,379.218,2.000000E-008,,,0
38,38.000000,95.953786,379.249,2.000000E-008,,,0
39,39.000000,97.916345,379.280,2.000000E-008,,,0
40,40.000000,99.879064,379.311,2.000000E-008,,,0
41,41.000000,101.841942,379.342,2.000000E-008,,,0
42,42.000000,103.804980,379.372,2.000000E-008,,,0
43,43.000000,105.768176,379.403,2.000000E-008,,,0
44,44.000000,107.731530,379.433,2.000000E-008,,,0
45,45.000000,109.695041,379.464,2.000000E-008,,,0
46,46.000000,111.658710,379.494,2.000000E-008,,,0
47,47.000000,113.622535,379.524,2.000000E-008,,,0
48,48.000000,115.586517,379.555,2.000000E-008,,,0
49,49.000000,117.550654,379.585,2.000000E-008,,,0
50,50.000000,119.514947,379.615,2.000000E-008,,,0
51,51.000000,121.479395,379.644,2.000000E-008,,,0
52,52.000000,123.443996,379.674,2.000000E-008,,,0
53,53.000000,125.408752,379.704,2.000000E-008,,,0
54,54.000000,127.373661,379.734,2.000000E-008,,,0
55,55.000000,129.338724,379.763,2.000000E-008,,,0
56,56.000000,131.303939,379.792,2.000000E-008,,,0
57,57.000000,133.269306,379.822,2.000000E-008,,,0
58,58.000000,135.234824,379.851,2.000000E-008,,,0
59,59.000000,137.200494,379.880,2.000000E-008,,,0
60,60.000000,139.166315,379.909,2.000000E-008,,,0
61,61.000000,141.132286,379.938,2.000000E-008,,,0
62,62.000000,143.098407,379.967,2.000000E-008,,,0
63,63.000000,145.064678,379.996,2.000000E-008,,,0
64,64.000000,147.031098,380.025,2.000000E-008,,,0
65,65.000000,148.997666,380.054,2.000000E-008,,,0
66,66.000000,150.964383,380.082,2.000000E-008,,,0
67,67.000000,152.931247,380.111,2.000000E-008,,,0
68,68.000000,154.898259,380.139,2.000000E-008,,,0
69,69.000000,156.865418,380.168,2.000000E-008,,,0
70,70.000000,158.832723,380.196,2.000000E-008,,,0
71,71.000000,160.800174,380.224,2.000000E-008,,,0
72,72.000000,162.767771,380.252,2.000000E-008,,,0
