hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,1084.000,2.000000E-008,,,0
1,1.000000,27.024919,1051.895,2.000000E-008,,,0
2,2.000000,32.391330,1022.670,2.000000E-008,,,0
3,3.000000,37.613143,995.952,2.000000E-008,,,0
4,4.000000,42.702511,971.432,2.000000E-008,,,0
5,5.000000,47.670118,948.851,2.000000E-008,,,0
6,6.000000,52.525403,927.986,2.000000E-008,,,0
7,7.000000,57.276751,908.650,2.000000E-008,,,0
8,8.000000,61.931640,890.680,2.000000E-008,,,0
9,9.000000,66.496769,873.936,2.000000E-008,,,0
10,10.000000,70.978163,858.298,2.000000E-008,,,0
11,11.000000,75.381261,843.658,2.000000E-008,,,0
12,12.000000,79.710986,829.925,2.000000E-008,,,0
13,13.000000,83.971814,817.016,2.000000E-008,,,0
14,14.000000,88.167820,804.860,2.000000E-008,,,0
15,15.000000,92.302732,793.393,2.000000E-008,,,0
16,16.000000,96.379961,782.557,2.000000E-008,,,0
17,17.000000,100.402644,772.302,2.000000E-008,,,0
18,18.000000,104.373665,762.583,2.000000E-008,,,0
19,19.000000,108.295689,753.358,2.000000E-008,,,0
20,20.000000,112.171177,744.591,2.000000E-008,,,0
21,21.000000,116.002412,736.249,2.000000E-008,,,0
22,22.000000,119.791509,728.301,2.000000E-008,,,0
23,23.000000,123.540438,720.720,2.000000E-008,,,0
24,24.000000,127.251034,713.481,2.000000E-008,,,0
25,25.000000,130.925008,706.561,2.000000E-008,,,0
26,26.000000,134.563958,699.941,2.000000E-008,,,0
27,27.000000,138.169382,693.601,2.000000E-008,,,0
28,28.000000,141.742683,687.523,2.000000E-008,,,0
29,29.000000,145.285177,681.691,2.000000E-008,,,0
30,30.000000,148.798100,676.091,2.000000E-008,,,0
31,31.000000,152.282619,670.710,2.000000E-008,,,0
32,32.000000,155.739828,665.535,2.000000E-008,,,0
33,33.000000,159.170762,660.553,2.000000E-008,,,0
34,34.000000,162.576399,655.755,2.000000E-008,,,0
35,35.000000,165.957662,651.131,2.000000E-008,,,0
36,36.000000,169.315423,646.671,2.000000E-008,,,0
37,37.000000,172.650512,642.366,2.000000E-008,,,0
38,38.000000,175.963711,638.209,2.000000E-008,,,0
39,39.000000,179.255766,634.193,2.000000E-008,,,0
40,40.000000,182.527384,630.309,2.000000E-008,,,0
41,41.000000,185.779237,626.552,2.000000E-008,,,0
42,42.000000,189.011964,622.916,2.000000E-008,,,0
43,43.000000,192.226175,619.395,2.000000E-008,,,0
44,44.000000,195.422451,615.983,2.000000E-008,,,0
45,45.000000,198.601344,612.676,2.000000E-008,,,0
46,46.000000,201.763383,609.468,2.000000E-008,,,0
47,47.000000,204.909073,606.356,2.000000E-008,,,0
48,48.000000,208.038896,603.335,2.000000E-008,,,0
49,49.000000,211.153314,600.401,2.000000E-008,,,0
50,50.000000,214.252766,597.551,2.000000E-008,,,0
51,50.242222,215.000000,596.880,2.000000E-008,,,0
