gamma0,n_ref_scale,n_arrived,mae_h,bias_h
5.0000E-09,0.5,29,8.742,0.756
5.0000E-09,0.75,30,8.563,-0.617
5.0000E-09,1.0,30,8.845,-1.617
5.0000E-09,1.25,30,9.032,-2.417
5.0000E-09,1.5,30,9.298,-2.751
5.0000E-09,1.75,30,9.465,-3.251
5.0000E-09,2.0,30,9.498,-3.284
5.0000E-09,2.25,31,9.626,-3.066
5.0000E-09,2.5,31,9.626,-3.195
5.0000E-09,2.75,31,9.647,-3.453
5.0000E-09,3.0,31,9.744,-3.615
5.7435E-09,0.5,28,8.764,1.064
5.7435E-09,0.75,30,8.563,-0.151
5.7435E-09,1.0,30,8.612,-1.184
5.7435E-09,1.25,30,8.898,-2.017
5.7435E-09,1.5,30,9.098,-2.484
5.7435E-09,1.75,30,9.332,-2.784
5.7435E-09,2.0,30,9.465,-3.251
5.7435E-09,2.25,30,9.498,-3.284
5.7435E-09,2.5,31,9.659,-3.034
5.7435E-09,2.75,31,9.626,-3.131
5.7435E-09,3.0,31,9.626,-3.260
6.5975E-09,0.5,28,9.177,1.814
6.5975E-09,0.75,29,8.494,0.135
6.5975E-09,1.0,30,8.529,-0.717
6.5975E-09,1.25,30,8.778,-1.484
6.5975E-09,1.5,30,8.898,-2.084
6.5975E-09,1.75,30,9.098,-2.484
6.5975E-09,2.0,30,9.332,-2.784
6.5975E-09,2.25,30,9.365,-3.151
6.5975E-09,2.5,30,9.465,-3.251
6.5975E-09,2.75,31,9.562,-2.937
6.5975E-09,3.0,31,9.626,-3.066
7.5786E-09,0.5,28,9.534,2.671
7.5786E-09,0.75,29,8.742,0.825
7.5786E-09,1.0,30,8.563,-0.151
7.5786E-09,1.25,30,8.582,-1.017
7.5786E-09,1.5,30,8.845,-1.617
7.5786E-09,1.75,30,8.932,-2.117
7.5786E-09,2.0,30,9.098,-2.484
7.5786E-09,2.25,30,9.298,-2.751
7.5786E-09,2.5,30,9.332,-3.051
7.5786E-09,2.75,30,9.465,-3.251
7.5786E-09,3.0,30,9.498,-3.284
8.7055E-09,0.5,28,10.070,3.564
8.7055E-09,0.75,28,8.800,1.171
8.7055E-09,1.0,29,8.425,0.066
8.7055E-09,1.25,30,8.529,-0.584
8.7055E-09,1.5,30,8.612,-1.184
8.7055E-09,1.75,30,8.832,-1.684
8.7055E-09,2.0,30,8.898,-2.084
8.7055E-09,2.25,30,9.065,-2.451
8.7055E-09,2.5,30,9.298,-2.684
8.7055E-09,2.75,30,9.265,-2.851
8.7055E-09,3.0,30,9.365,-3.151
1.0000E-08,0.5,27,10.788,4.907
1.0000E-08,0.75,28,9.177,1.814
1.0000E-08,1.0,29,8.742,0.756
1.0000E-08,1.25,29,8.425,-0.313
1.0000E-08,1.5,30,8.563,-0.617
1.0000E-08,1.75,30,8.612,-1.184
1.0000E-08,2.0,30,8.845,-1.617
1.0000E-08,2.25,30,8.898,-2.084
1.0000E-08,2.5,30,9.032,-2.417
1.0000E-08,2.75,30,9.198,-2.584
1.0000E-08,3.0,30,9.298,-2.751
1.1487E-08,0.5,25,11.627,6.021
1.1487E-08,0.75,28,9.606,2.743
1.1487E-08,1.0,28,8.764,1.064
1.1487E-08,1.25,29,8.563,0.342
1.1487E-08,1.5,30,8.563,-0.151
1.1487E-08,1.75,30,8.563,-0.751
1.1487E-08,2.0,30,8.612,-1.184
1.1487E-08,2.25,30,8.812,-1.584
1.1487E-08,2.5,30,8.898,-2.017
1.1487E-08,2.75,30,8.998,-2.251
1.1487E-08,3.0,30,9.098,-2.484
1.3195E-08,0.5,25,12.107,7.141
1.3195E-08,0.75,28,10.106,3.671
1.3195E-08,1.0,28,9.177,1.814
1.3195E-08,1.25,29,8.845,0.997
1.3195E-08,1.5,29,8.494,0.135
1.3195E-08,1.75,30,8.563,-0.151
1.3195E-08,2.0,30,8.529,-0.717
1.3195E-08,2.25,30,8.548,-1.117
1.3195E-08,2.5,30,8.778,-1.484
1.3195E-08,2.75,30,8.765,-1.817
1.3195E-08,3.0,30,8.898,-2.084
1.5157E-08,0.5,24,12.310,7.596
1.5157E-08,0.75,27,10.825,4.944
1.5157E-08,1.0,28,9.534,2.671
1.5157E-08,1.25,28,8.836,1.350
1.5157E-08,1.5,29,8.742,0.825
1.5157E-08,1.75,29,8.425,0.066
1.5157E-08,2.0,30,8.563,-0.151
1.5157E-08,2.25,30,8.563,-0.617
1.5157E-08,2.5,30,8.582,-1.017
1.5157E-08,2.75,30,8.612,-1.317
1.5157E-08,3.0,30,8.845,-1.617
1.7411E-08,0.5,23,12.278,7.881
1.7411E-08,0.75,25,11.587,6.141
1.7411E-08,1.0,28,10.070,3.564
1.7411E-08,1.25,28,9.320,2.171
1.7411E-08,1.5,28,8.800,1.171
1.7411E-08,1.75,29,8.742,0.756
1.7411E-08,2.0,29,8.425,0.066
1.7411E-08,2.25,30,8.529,-0.117
1.7411E-08,2.5,30,8.529,-0.584
1.7411E-08,2.75,30,8.596,-0.851
1.7411E-08,3.0,30,8.612,-1.184
2.0000E-08,0.5,20,10.371,6.214
2.0000E-08,0.75,25,12.107,7.141
2.0000E-08,1.0,27,10.788,4.907
2.0000E-08,1.25,28,9.749,3.029
2.0000E-08,1.5,28,9.177,1.814
2.0000E-08,1.75,28,8.764,1.064
2.0000E-08,2.0,29,8.742,0.756
2.0000E-08,2.25,29,8.563,0.204
2.0000E-08,2.5,29,8.425,-0.313
2.0000E-08,2.75,30,8.529,-0.317
2.0000E-08,3.0,30,8.563,-0.617
2.2974E-08,0.5,19,10.422,6.589
2.2974E-08,0.75,24,12.352,7.638
2.2974E-08,1.0,25,11.627,6.021
2.2974E-08,1.25,27,10.454,4.352
2.2974E-08,1.5,28,9.606,2.743
2.2974E-08,1.75,28,9.177,1.743
2.2974E-08,2.0,28,8.764,1.064
2.2974E-08,2.25,29,8.742,0.894
2.2974E-08,2.5,29,8.563,0.342
2.2974E-08,2.75,29,8.363,-0.175
2.2974E-08,3.0,30,8.563,-0.151
2.6390E-08,0.5,19,10.782,7.378
2.6390E-08,0.75,22,11.955,7.357
2.6390E-08,1.0,25,12.107,7.141
2.6390E-08,1.25,27,11.010,5.278
2.6390E-08,1.5,28,10.106,3.671
2.6390E-08,1.75,28,9.534,2.671
2.6390E-08,2.0,28,9.177,1.814
2.6390E-08,2.25,28,8.764,1.207
2.6390E-08,2.5,29,8.845,0.997
2.6390E-08,2.75,29,8.535,0.549
2.6390E-08,3.0,29,8.494,0.135
3.0314E-08,0.5,19,11.097,8.220
