activity_id,launch_time,initial_speed_kms,observed_transit_hours,arrival_time_hours,error_hours,termination_reason,shock_arrived,n_missing_hours,density_coverage,gamma_eff_mean,gamma_eff_final
2026-01-01T03:53:00-CME-001,2026-01-01T03:53:00.0000000Z,453.0,88.800,,,timeout,0,0,1.000,7.734463E-09,6.265627E-09
2026-01-01T19:36:00-CME-001,2026-01-01T19:36:00.0000000Z,628.0,73.083,61.000,-12.083,target_reached,0,0,1.000,5.030599E-09,4.773811E-09
2026-01-01T23:12:00-CME-001,2026-01-01T23:12:00.0000000Z,322.0,149.750,,,timeout,0,0,1.000,5.494856E-09,1.133780E-08
2026-01-03T07:48:00-CME-001,2026-01-03T07:48:00.0000000Z,378.0,117.150,,,timeout,0,0,1.000,6.595070E-09,7.608262E-09
2026-01-04T01:25:00-CME-001,2026-01-04T01:25:00.0000000Z,451.0,99.533,,,timeout,0,0,1.000,8.223636E-09,7.906625E-09
2026-01-05T08:48:00-CME-001,2026-01-05T08:48:00.0000000Z,661.0,68.150,61.000,-7.150,target_reached,0,0,1.000,1.095629E-08,1.741185E-08
2026-01-06T02:00:00-CME-001,2026-01-06T02:00:00.0000000Z,895.0,50.950,54.000,3.050,target_reached,0,0,1.000,1.581174E-08,3.018893E-08
2026-01-07T11:36:00-CME-001,2026-01-07T11:36:00.0000000Z,537.0,80.000,,,timeout,0,0,1.000,1.760165E-08,7.725361E-09
2026-01-08T03:00:00-CME-001,2026-01-08T03:00:00.0000000Z,340.0,130.717,,,timeout,0,0,1.000,1.755018E-08,1.262013E-08
2026-01-08T05:53:00-CME-001,2026-01-08T05:53:00.0000000Z,1016.0,61.717,56.000,-5.717,target_reached,0,0,1.000,1.655131E-08,9.497372E-09
2026-01-08T15:48:00-CME-001,2026-01-08T15:48:00.0000000Z,872.0,51.800,56.000,4.200,target_reached,0,0,1.000,1.464963E-08,1.871334E-08
2026-01-08T17:00:00-CME-001,2026-01-08T17:00:00.0000000Z,1056.0,50.600,50.000,-0.600,target_reached,0,0,1.000,1.381446E-08,9.189587E-09
2026-01-08T17:12:00-CME-001,2026-01-08T17:12:00.0000000Z,1084.0,50.400,49.000,-1.400,target_reached,0,0,1.000,1.375881E-08,9.189587E-09
2026-01-09T08:38:00-CME-001,2026-01-09T08:38:00.0000000Z,387.0,101.083,,,timeout,0,0,1.000,8.545872E-09,2.324639E-09
2026-01-09T15:36:00-CME-001,2026-01-09T15:36:00.0000000Z,317.0,154.067,,,timeout,0,0,1.000,7.316502E-09,4.482725E-09
2026-01-10T02:24:00-CME-001,2026-01-10T02:24:00.0000000Z,1118.0,17.200,40.000,22.800,target_reached,0,0,1.000,8.729455E-09,3.132814E-09
2026-01-10T16:12:00-CME-001,2026-01-10T16:12:00.0000000Z,221.0,218.717,,,timeout,0,0,1.000,4.599642E-09,1.371580E-09
2026-01-10T20:36:00-CME-001,2026-01-10T20:36:00.0000000Z,1045.0,65.117,41.000,-24.117,target_reached,0,0,1.000,5.167832E-09,2.905798E-09
