activity_id,launch_time,initial_speed_kms,observed_transit_hours,arrival_time_hours,error_hours,termination_reason,shock_arrived,n_missing_hours,density_coverage,gamma_eff_mean,gamma_eff_final
2026-01-01T03:53:00-CME-001,2026-01-01T03:53:00.0000000Z,453.0,88.800,,,timeout,0,0,1.000,7.685728E-09,6.226147E-09
2026-01-01T19:36:00-CME-001,2026-01-01T19:36:00.0000000Z,628.0,73.083,61.000,-12.083,target_reached,0,0,1.000,4.998901E-09,4.743731E-09
2026-01-01T23:12:00-CME-001,2026-01-01T23:12:00.0000000Z,322.0,149.750,,,timeout,0,0,1.000,5.460232E-09,1.126636E-08
2026-01-03T07:48:00-CME-001,2026-01-03T07:48:00.0000000Z,378.0,117.150,,,timeout,0,0,1.000,6.553514E-09,7.560321E-09
2026-01-04T01:25:00-CME-001,2026-01-04T01:25:00.0000000Z,451.0,99.533,,,timeout,0,0,1.000,8.171818E-09,7.856804E-09
2026-01-05T08:48:00-CME-001,2026-01-05T08:48:00.0000000Z,661.0,68.150,61.000,-7.150,target_reached,0,0,1.000,1.088725E-08,1.730213E-08
2026-01-06T02:00:00-CME-001,2026-01-06T02:00:00.0000000Z,895.0,50.950,53.000,2.050,target_reached,0,0,1.000,1.544255E-08,2.660263E-08
2026-01-07T11:36:00-CME-001,2026-01-07T11:36:00.0000000Z,537.0,80.000,,,timeout,0,0,1.000,1.749074E-08,7.676683E-09
2026-01-08T03:00:00-CME-001,2026-01-08T03:00:00.0000000Z,340.0,130.717,,,timeout,0,0,1.000,1.743959E-08,1.254061E-08
2026-01-08T05:53:00-CME-001,2026-01-08T05:53:00.0000000Z,1016.0,61.717,56.000,-5.717,target_reached,0,0,1.000,1.644701E-08,9.437528E-09
2026-01-08T15:48:00-CME-001,2026-01-08T15:48:00.0000000Z,872.0,51.800,56.000,4.200,target_reached,0,0,1.000,1.455732E-08,1.859543E-08
2026-01-08T17:00:00-CME-001,2026-01-08T17:00:00.0000000Z,1056.0,50.600,50.000,-0.600,target_reached,0,0,1.000,1.372741E-08,9.131682E-09
2026-01-08T17:12:00-CME-001,2026-01-08T17:12:00.0000000Z,1084.0,50.400,49.000,-1.400,target_reached,0,0,1.000,1.367211E-08,9.131682E-09
2026-01-09T08:38:00-CME-001,2026-01-09T08:38:00.0000000Z,387.0,101.083,,,timeout,0,0,1.000,8.492023E-09,2.309991E-09
2026-01-09T15:36:00-CME-001,2026-01-09T15:36:00.0000000Z,317.0,154.067,,,timeout,0,0,1.000,7.270400E-09,4.454479E-09
2026-01-10T02:24:00-CME-001,2026-01-10T02:24:00.0000000Z,1118.0,17.200,40.000,22.800,target_reached,0,0,1.000,8.674449E-09,3.113073E-09
2026-01-10T16:12:00-CME-001,2026-01-10T16:12:00.0000000Z,221.0,218.717,,,timeout,0,0,1.000,4.570659E-09,1.362938E-09
2026-01-10T20:36:00-CME-001,2026-01-10T20:36:00.0000000Z,1045.0,65.117,41.000,-24.117,target_reached,0,0,1.000,5.135269E-09,2.887488E-09
2026-01-10T20:48:00-CME-001,2026-01-10T20:48:00.0000000Z,809.0,64.917,50.000,-14.917,target_reached,0,0,1.000,4.802856E-09,2.767176E-09
2026-01-11T05:12:00-CME-001,2026-01-11T05:12:00.0000000Z,775.0,56.517,50.000,-6.517,target_reached,0,0,1.000,3.339452E-09,3.179309E-09
2026-01-11T21:30:00-CME-001,2026-01-11T21:30:00.0000000Z,440.0,100.167,,,timeout,0,0,1.000,2.052629E-09,5.099511E-09
2026-01-12T01:45:00-CME-001,2026-01-12T01:45:00.0000000Z,804.0,35.967,48.000,12.033,target_reached,0,0,1.000,2.101555E-09,1.000000E-09
2026-01-12T03:00:00-CME-001,2026-01-12T03:00:00.0000000Z,916.0,34.717,42.000,7.283,target_reached,0,0,1.000,2.224653E-09,1.185933E-09
2026-01-14T08:24:00-CME-001,2026-01-14T08:24:00.0000000Z,768.0,41.267,51.000,9.733,target_reached,0,0,1.000,7.092569E-09,8.059737E-09
2026-01-17T23:24:00-CME-001,2026-01-17T23:24:00.0000000Z,951.0,43.517,41.000,-2.517,target_reached,0,0,1.000,8.161353E-09,1.085585E-08
